# =============================================================================
# ФАЙЛ ОПИСАНИЯ DEFCON
#
# Формат:
# stringId                  перевод
#
#
# Символами в начале строки обозначаются комментарии
# StringIDs должны остаться нетронутыми!#
#
# =============================================================================


# =============================================================================
# Название языка
# =============================================================================
lang                                                  Русский
tutorial_mission7enemyattack                          Враг выпустил по вам ракеты!\n\nЕсли у вас есть подводные лодки у побережья Китая, используйте их для уничтожения вражеских шахт, пока они беззащитны.\n\nПереведите свои ракетные шахты в режим противовоздушной обороны для обстрела приближающихся ракет.
tutorial_mission7retaliate                            Враг только что выпустил большую часть своих ракет.\n\nИспользуйте свои ракетные шахты и оставшиеся ракеты для полномасштабного ответа вражеским городам в Китае! 
tutorial_m7victory                                    Поздравляем! Вы с успехом одержали победу над компьютерным противником и закончили вводное руководство Defcon!
tutorial_mission7failed                               Вы проиграли компьютерному противнику и провалили миссию.\n\nПодсказки:\n-Попробуйте разместить свои подводные лодки вплотную к вражеской береговой линии: так вы сможете уничтожить их ракетные шахты до того, как они запустят все свои ракеты.\nИспользуйте свои авианосцы для обнаружения и уничтожения вражеских подводных лодок до того, как они начнут атаковать.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_showterritory_popup                          Щелкните по этой кнопке, чтобы увидеть расположение ваших врагов.
tutorial_m7placeradar_popup                           Враг подойдет с Восточного берега Китая. Разверните свои радары вдоль западного берега для максимального обзора.
tutorial_m7placesilos_popup                           Для защиты своих главных городов разверните ракетные шахты – города станут основной мишенью вашего врага. 
tutorial_m7placeairbases_popup                        Разверните свои авиабазы вдоль западного побережья Америки. Мы используем их для обстрела и уничтожения любых кораблей, приблизившихся к нашему берегу.
tutorial_placefleetspacific_popup                     Чтобы нас атаковать, враг направит свои суда через Тихий океан. Для их перехвата вы должны разместить большую часть своего флота в Тихом океане.
tutorial_m7fleettarget_popup                          Постарайтесь перебросить свой флот к Восточному берегу Китая, чтобы ударить с близкого расстояния.\nЩЕЛКНИТЕ ЛЕВОЙ КНОПКОЙ МЫШИ, чтобы выбрать весь флот.\nЩЕЛКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ, чтобы передвинуть весь флот.
macosx_tutorial_m7fleettarget_popup                   Постарайтесь перебросить свой флот к Восточному берегу Китая, чтобы ударить с близкого расстояния.\nЩЕЛКНИТЕ ЛЕВОЙ КНОПКОЙ МЫШИ, чтобы выбрать весь флот.\nЩЕЛКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ (или щелкните, зажав Ctrl) чтобы передвинуть весь флот.
tutorial_m7scoutchina_popuup                          Направьте истребители с ближайших авианосцев разведать территорию на предмет вражеских наземных баз.
tutorial_m7enemysubs_popup                            Вражеские подводные лодки выпустили ракеты по вашим городам! Запустите истребителей и бомбардировщиков с ближайших авиабаз и уничтожьте их! 


# =============================================================================
# Информация о единицах
# =============================================================================

unitinfo_title                                        Информация о единицах
unitinfo_title2                                       (нет выбранных единиц)

unitinfo_fighter                                      Быстрый самолет с небольшим радиусом действия.\n\n+  Эффективен против бомбардировщиков\n+ Успешно используется в качестве разведчика\n- Легко уничтожается линкорами или ракетными шахтами
unitinfo_silo                                         Функционирует в качестве ракетной установки и противовоздушного комплекса.\n\n+  Поставка ядерных ракет дальнего действия в больших количествах. \n+  Мощные противовоздушные орудия\n+  Усилена против попаданий ракет\n-  Запуск ракет обнаруживает местонахождение\n-  Медленное переключение режимов
unitinfo_radar                                        Обеспечивает радарный обзор территории.\n\n+  Наибольший доступный радиус обзора\n-  Легко уничтожается ударом ракеты 
unitinfo_bomber                                       Универсальный самолет дальнего действия.\n\n+  Переносит одну бомбу малого радиуса действия\n+  Сброс бомбы не отражается на вражеских радарах\n+  Эффективен против судов\n-  Легко сбивается истребителями\n- Небольшая скорость передвижения
unitinfo_battleship                                   Тяжелый корабль, вооруженный мощными и скорострельными орудиями.\n\n+  Эффективен против нескольких целей\n-  Уязвим для подводных лодок и бомбардировщиков 
unitinfo_sub                                          Мощная ракетоносная боевая единица.\n\n+  Невидима для традиционных радаров\n+  Поставка ракет среднего радиуса действия в больших количествах\n-  Особенно уязвима, когда поднимается на поверхность\n-  Запуск ракет обнаруживает местонахождение\n-  Уязвима для глубинных бомб\n-  Нулевой радиус обзора радара
unitinfo_carrier                                      Мобильный авианосец\n\n+  Обеспечивает запуск истребителей и бомбардировщиков\n+  Может использовать глубинные бомбы против подводных лодок \n-  Не может сам защитить себя
unitinfo_nuke                                         Высокопродуктивная ядерная боеголовка.\n\n+  Невероятная разрушительная мощь\n-  Уязвима для противовоздушного огня
unitinfo_airbase                                      Точка запуска истребителей и бомбардировщиков.\n\n+  Большое число бомбардировщиков \n+  Восстанавливает истребители спустя некоторое время\n-  Легко уничтожается ядерным ударом


# =============================================================================
# Экран демоверсии
# =============================================================================

demo_top1                                             Купите игру сейчас и играйте в Defcon без ограничений
demo_middle1                                          Количество игроков не ограничено: 6 игроков устраивают геноцид!
demo_middle2                                          Альтернативные режимы игры, включающие:
demo_middle3                                          Офисный режим: Играй в Defcon в реальном времени весь день
demo_middle4                                          Быстрый Defcon: Через 15 минут все кончено – инстинктивно и зверски
demo_middle5                                          Дипломатия: Все игроки начинают в союзе – как долго он продержится? 
demo_middle6                                          Огромный мир: Мир в два раза больше – для тех, кто любит играть долго 
demo_bottom1                                          Мгновенная активация всего за

demo_bottom2                                          Ј10     $17.50     Ђ14

demo_bottom1_steam                                    Мгновенная активация всего за
demo_bottom2_steam                                    14.95
demo_bottom1_retail                                   КУПИТЬ ПОЛНУЮ ВЕРСИЮ DEFCON
demo_bottom2_retail                                   ПОСЕТИТЕ САЙТ ПОСТАВЩИКА ЛЮБИМЫХ ИГР 

demo_bottom1_retail_uk                                КУПИТЬ ПОЛНУЮ ВЕРСИЮ DEFCON
demo_bottom2_retail_uk                                ПОСЕТИТЕ САЙТ ПОСТАВЩИКА ЛЮБИМЫХ ИГР

demo_bottom1_macosx                                   Мгновенная активация всего за
demo_bottom2_macosx                                   25


# =============================================================================
# Наложение фойе
# =============================================================================

overlay_0_1                                           --------------------------
overlay_0_2                                           -       D E F C O N
overlay_0_3                                           --------------------------
overlay_0_4                                           -РАЗРАБОТКА 
overlay_0_5                                           CHRIS DELAY
overlay_0_6                                           GARY CHAMBERS\n
overlay_0_7                                           -ЗВУК
overlay_0_8                                           -И ПРОИЗВОДСТВО
overlay_0_9                                           ALISTAIR LINDSAY

overlay_0_10                                          MICHAEL MAIDMENT\n
overlay_0_11                                          -ПРОИЗВЕДЕНО
overlay_0_12                                          -INTROVERSION SOFTWARE
overlay_0_13                                          MARK MORRIS
overlay_0_14                                          THOMAS ARUNDEL
overlay_0_15                                          CHRIS DELAY
overlay_0_16                                          JOHN KNOTTENBELT\n
overlay_0_17                                          -PR И МАРКЕТИНГ
overlay_0_18                                          VICTORIA ARUNDEL\n
overlay_0_19                                          -ДОПОЛНИТЕЛЬНЫЙ ГРАФИЧЕСКИЙ ДИЗАЙН
overlay_0_20                                          MORTEN ELGAARD PEDERSEN\n
overlay_0_21                                          -ОТГРУЗКА
overlay_0_22                                          WILL MORRIS\n
overlay_0_23                                          -ДОПОЛНИТЕЛЬНАЯ РАЗРАБОТКА
overlay_0_24                                          FRANCOIS GAGNE

overlay_1_1                                           ------------------------------------------
overlay_1_2                                           -I N T R O V E R S I O N   S O F T W A R E
overlay_1_3                                           ------------------------------------------\n
overlay_1_4                                           MARK MORRIS                      РАЗРАБОТКА
overlay_1_5                                           THOMAS ARUNDEL                   РАЗРАБОТКА 
overlay_1_6                                           CHRIS DELAY                      РАЗРАБОТКА 
overlay_1_7                                           JOHN KNOTTENBELT                 РАЗРАБОТКА \n
overlay_1_8                                           GARY CHAMBERS                    РАЗРАБОТКА
overlay_1_9                                           VICTORIA ARUNDEL                 PR И МАРКЕТИНГ
overlay_1_10                                          WILL MORRIS                      ОТГРУЗКА

overlay_2_1                                           ----------------------
overlay_2_2                                           -ДОСТУПНЫЕ СИМУЛЯТОРЫ
overlay_2_3                                           ----------------------\n
overlay_2_4                                           FALKEN'S MAZE
overlay_2_5                                           BLACK JACK
overlay_2_6                                           GIN RUMMY
overlay_2_7                                           HEARTS
overlay_2_8                                           BRIDGE
overlay_2_9                                           CHECKERS
overlay_2_10                                          CHESS
overlay_2_11                                          POKER
overlay_2_12                                          FIGHTER COMBAT
overlay_2_13                                          GUERRILLA ENGAGEMENT
overlay_2_14                                          DESERT WARFARE
overlay_2_15                                          AIR-TO-GROUND ACTIONS
overlay_2_16                                          THEATREWIDE TACTICAL WARFARE
overlay_2_17                                          THEATREWIDE BIOTOXIC AND CHEMICAL WARFARE\n
overlay_2_18                                          GLOBAL THERMONUCLEAR WAR

overlay_3_1                                           -----------------------------------
overlay_3_2                                           - ГРАЖДАНСКИЕ МИШЕНИ В МИЛЛИОНАХ
overlay_3_3                                           -----------------------------------\n
overlay_3_4                                           ЛОС-АНДЖЕЛЕС                   3.3
overlay_3_5                                           НЬЮ-ЙОРК                       7.3
overlay_3_6                                           ЧИКАГО                         3.0
overlay_3_7                                           ВАШИНГТОН                      4.0
overlay_3_8                                           ДАЛЛАС                         1.0
overlay_3_9                                           ДЕТРОЙТ                        1.1
overlay_3_10                                          ПАРИЖ                          2.2
overlay_3_11                                          БЕРЛИН                         1.9
overlay_3_12                                          ЛОНДОН                         7.7
overlay_3_13                                          ЛЕНИНГРАД                      4.9
overlay_3_14                                          МОСКВА                         8.7
overlay_3_15                                          РИМ                            2.8
overlay_3_16                                          ТОКИО                          8.4
overlay_3_17                                          СИНГАПУР                       2.6
overlay_3_18                                          БАНГКОК                        4.7
overlay_3_19                                          БОМБЕЙ                         8.2
overlay_3_20                                          МЕХИКО                         8.8
overlay_3_21                                          РИО-ДЕ-ЖАНЕЙРО                 5.6
overlay_3_22                                          КАИР                           6.1
overlay_3_23                                          СТАМБУЛ                        5.5
overlay_3_24                                          ПЕКИН                          5.5
overlay_3_25                                          ШАНХАЙ                         6.3
overlay_3_26                                          ДЕЛИ                           4.9

overlay_4_1                                           -----------------------------------------------
overlay_4_2                                           ПРЕДПОЛАГАЕМЫЕ ПОТЕРИ ВОЗДУШНЫХ СИЛ США (В ПРОЦЕНТАХ)
overlay_4_3                                           -----------------------------------------------\n
overlay_4_4                                           КОМАНДОВАНИЕ КОСМИЧЕСКОЙ ОБОРОНЫ           23
overlay_4_5                                           УПРАВЛЕНИЕ ВОЗДУШНЫМИ СРАЖЕНИЯМИ           76
overlay_4_6                                           КОМАНДОВАНИЕ ПО ОБУЧЕНИЮ И ПОДГОТОВКЕ КАДРОВ ВВС 24
overlay_4_7                                           УПРАВЛЕНИЕ КОММУНИКАЦИЯМИ ВВС              68
overlay_4_8                                           УПРАВЛЕНИЕ РАЗВЕДОВАТЕЛЬНОЙ СЛУЖБЫ ВВС     58
overlay_4_9                                           КОМАНДОВАНИЕ ТЫЛА ВВС                      78
overlay_4_10                                          КОМАНДОВАНИЕ РЕЗЕРВА ВВС                   14
overlay_4_11                                          КОМАНДОВАНИЕ ВОЕННО-КОСМИЧЕСКИХ СИЛ ВВС    12
overlay_4_12                                          КОМАНДОВАНИЕ СПЕЦИАЛЬНЫХ ОПЕРАЦИЙ ВВС      56
overlay_4_13                                          КОМАНДОВАНИЕ РАЗРАБОТОК СИСТЕМ ВООРУЖЕНИЯ ВВС 86
overlay_4_14                                          КОМАНДОВАНИЕ ВОЗДУШНЫХ ПЕРЕБРОСОК          87
overlay_4_15                                          КОМАНДОВАНИЕ ВВС НА АЛЯСКЕ                 92
overlay_4_16                                          ШТАБНОЕ КОМАНДОВАНИЕ ВВС США               85
overlay_4_17                                          КОМАНДОВАНИЕ ВВС НА СЕВЕРО-ВОСТОКЕ         75
overlay_4_18                                          КОМАНДОВАНИЕ ВВС В ЗОНЕ ТИХОГО ОКЕАНА      91
overlay_4_19                                          ВВС В ЗОНЕ ТИХОГО ОКЕАНА                   85
overlay_4_20                                          КОМАНДОВАНИЕ СПЕЦИАЛЬНЫХ ВИДОВ ОРУЖИЯ      67
overlay_4_21                                          СТРАТЕГИЧЕСКОЕ АВИАКОМАНДОВАНИЕ ВВС        85
overlay_4_22                                          ТАКТИЧЕСКОЕ АВИАКОМАНДОВАНИЕ ВВС           91
overlay_4_23                                          ПОДРАЗДЕЛЕНИЕ 3D AIR                       75
overlay_4_24                                          ВВС США В ЕВРОПЕ                           79
overlay_4_25                                          КОМАНДОВАНИЕ ВВС США НА ЮГЕ                65

overlay_5_1                                           -----------------------------------------------------------------
overlay_5_2                                           - ВЛИЯНИЕ РАДИОАКТИВНОГО ОБЛУЧЕНИЯ НА ЧЕЛОВЕЧЕСКУЮ ФИЗИОЛОГИЮ-
overlay_5_3                                           -----------------------------------------------------------------\n
overlay_5_4                                           -МЕНЕЕ ЧЕМ 1 Зв (5O–1OO бэр) 
overlay_5_5                                           СЛАБАЯ ЛУЧЕВАЯ БОЛЕЗНЬ, СОПРОВОЖДАЕМАЯ ГОЛОВНЫМИ БОЛЯМИ И ПОВЫШЕННЫМ РИСКОМ\nИНФЕКЦИИ В РЕЗУЛЬТАТЕ РАЗРУШЕНИЯ ИММУНИТЕТА 
overlay_5_6                                           ВОЗМОЖНО ВРЕМЕННОЕ МУЖСКОЕ
overlay_5_7                                           БЕСПЛОДИЕ.\n
overlay_5_8                                           1–2 Зв (1OO–2OO БЭР)       (ЛЕГКАЯ)     1O%% СМЕРТЕЛЬНЫЙ ИСХОД ЧЕРЕЗ 30 ДНЕЙ 
overlay_5_9                                           2–3 Зв (2OO–3OO БЭР)       (УМЕРЕННАЯ)  35%% СМЕРТЕЛЬНЫЙ ИСХОД ЧЕРЕЗ 30 ДНЕЙ 
overlay_5_10                                          3–4 Зв (3OO–4OO БЭР)       (ТЯЖЕЛАЯ)    5O%% СМЕРТЕЛЬНЫЙ ИСХОД ЧЕРЕЗ 30 ДНЕЙ 
overlay_5_11                                          4–6 Зв (4OO–6OO БЭР)       (ОСТРАЯ)     6O%% СМЕРТЕЛЬНЫЙ ИСХОД ЧЕРЕЗ 30 ДНЕЙ 
overlay_5_12                                          1O–5O Зв (1,OOO–5,OOO БЭР) (ОСТРАЯ)     1OO%% СМЕРТЕЛЬНЫЙ ИСХОД ЧЕРЕЗ 7 ДНЕЙ\n
overlay_5_13                                          -5O–8O Зв (5,OOO–8,OOO БЭР) 
overlay_5_14                                          НЕМЕДЛЕННАЯ ДИЗОРИЕНТАЦИЯ И НАСТУПЛЕНИЕ КОМЫ ЧЕРЕЗ НЕСКОЛЬКО СЕКУНД ИЛИ МИНУТ. 
overlay_5_15                                          СМЕРТЬ НАСТУПАЕТ ЧЕРЕЗ НЕСКОЛЬКО ЧАСОВ ОТ ПОЛНОГО РАЗРУШЕНИЯ НЕРВНОЙ СИСТЕМЫ.\n 
overlay_5_16                                          - БОЛЕЕ ЧЕМ 8O Зв (>8,OOO БЭР)         НЕМЕДЛЕННАЯ СМЕРТЬ.

overlay_6_1                                           -----------------------------------------------
overlay_6_2                                           -ЯДЕРНЫЕ БОМБЫ США – МОЩНОСТЬ ЗАРЯДА И МАССА 
overlay_6_3                                           -----------------------------------------------\n 
overlay_6_4                                           MK-1      5      15-16KT           8,900 Фунтов 
overlay_6_5                                           MK-3    120      18-49KT          10,300 Фунтов 
overlay_6_6                                           MK-4    550       1-32KT   10,800-10,900 Фунтов 
overlay_6_7                                           MK-5    140      6-120KT     3,025-3,125 Фунтов 
overlay_6_8                                           MK-6   1100      8-160KT     7,600-8,500 Фунтов 
overlay_6_9                                           MK-7   1800       8-61KT     1,645-1,700 Фунтов 
overlay_6_10                                          MK-8     40      25-30KT     3,230-3,280 Фунтов 
overlay_6_11                                          MK-11    40      25-30KT     3,210-3,500 Фунтов 
overlay_6_12                                          MK-12   250      12-14KT     1,000-1,200 Фунтов 
overlay_6_13                                          MK-14     5        5-7MT   28,954-31,000 Фунтов 
overlay_6_14                                          MK-15  1500    1.6-3.9MT           7,600 Фунтов 
overlay_6_15                                          MK-16     5        6-8MT   39,000-42,000 Фунтов 
overlay_6_16                                          MK-17   200      10-15MT   41,400-42,000 Фунтов 
overlay_6_17                                          MK-18    90        500KT           8,600 Фунтов 
overlay_6_18                                          MK-21   275        4-5MT   15,000-17,700 Фунтов 
overlay_6_19                                          MK-24   105      10-15MT   41,400-42,000 Фунтов 
overlay_6_20                                          MK-28  4500   70KT-1.1MT     1,700-2,320 Фунтов 
overlay_6_21                                          MK-36   940      9-10 MT   17,500-17,700 Фунтов 
overlay_6_22                                          MK-39   700       3-4 MT     6,650-6,750 Фунтов 
overlay_6_23                                          MK-41   500        25 MT   10,500-10,670 Фунтов 
overlay_6_24                                          MK-43  1000     70KT-1MT     2,060-2,125 Фунтов 
overlay_6_25                                          MK-53   350         9 MT     8,850-8,900 Фунтов 
overlay_6_26                                          MK-57  3100      5-20 KT         490-510 Фунтов 
overlay_6_27                                          MK-61  3150    80-340 KT         695-716 Фунтов 
overlay_6_28                                          MK-83   650  UP TO 1.2KT           2,400 Фунтов 

overlay_7_1                                           -------------------------------------------------
overlay_7_2                                           -     ЛУЧЕВАЯ БОЛЕЗНЬ: СИМПТОМЫ И ПРИЗНАКИ 
overlay_7_3                                           -------------------------------------------------\n 
overlay_7_4                                           ГОЛОВОКРУЖЕНИЕ И ТОШНОТА 
overlay_7_5                                           ДИАРЕЯ 
overlay_7_6                                           ОЖОГИ КОЖИ(ПОКРАСНЕНИЕ, ВОЛДЫРИ) 
overlay_7_7                                           СЛАБОСТЬ, УСТАЛОСТЬ, ИСТОЩЕНИЕ, ОБМОРОКИ 
overlay_7_8                                           ОБЕЗВОЖИВАНИЕ 
overlay_7_9                                           ВОСПАЛЕНИЕ ОТКРЫТЫХ ЧАСТЕЙ КОЖИ
overlay_7_10                                          ВЫПАДЕНИЕ ВОЛОС 
overlay_7_11                                          ИЗЪЯЗВЛЕНИЕ СЛИЗИСТОЙ ОБОЛОЧКИ РТА 
overlay_7_12                                          ИЗЪЯЗВЛЕНИЕ ПИЩЕВОДА 
overlay_7_13                                          ИЗЪЯЗВЛЕНИЕ ЖЕЛУДКА 
overlay_7_14                                          ИЗЪЯЗВЛЕНИЕ КИШЕЧНИКА 
overlay_7_15                                          РВОТА КРОВЬЮ
overlay_7_16                                          КРОВЯНИСТЫЙ СТУЛ
overlay_7_17                                          КРОВОТЕЧЕНИЕ ИЗ НОСА, РТА, ДЕСЕН, И ПРЯМОЙ КИШКИ 
overlay_7_18                                          ГЕМАТОМА
overlay_7_19                                          ОТТОРЖЕНИЕ ОМЕРТВЕВШЕЙ КОЖИ
overlay_7_20                                          ОТКРЫТЫЕ ЯЗВЫ НА КОЖЕ

overlay_8_1                                           ---------------------------------------------------------------------- 
overlay_8_2                                           -ИЗОТОП      NA   ПЕРИОД ПОЛУРАСПАДА (ЛЕТ)       ДM     DE(МЭВ)     ДМ 
overlay_8_3                                           ----------------------------------------------------------------------\n 
overlay_8_4                                           PU-238   СИНТЕТИЧЕСКИЙ               88          СД       -        - 
overlay_8_5                                           PU-239   СИНТЕТИЧЕСКИЙ               24,110          СД       -        - 
overlay_8_6                                           U-232    СИНТЕТИЧЕСКИЙ               68.9       a + СД    5.414   TH-228 
overlay_8_7                                           U-233    СИНТЕТИЧЕСКИЙ               159,200       СД + a    4.909   TH-229 
overlay_8_8                                           U-234      0.0058%%             245,500       СД + a    4.859   TH-230 
overlay_8_9                                           U-235       0.72%%          703,800,000       СД + a    4.679   TH-231 
overlay_8_10                                          U-236    СИНТЕТИЧЕСКИЙ               23,420,000       СД + a    4.572   TH-232 
overlay_8_11                                          U-238      99.275%%       4,468,000,000       СД + a    4.270   TH-234

overlay_9_1                                           КАК НАСЧЕТ ПАРТИИ В ШАХМАТЫ?

overlay_10_1                                          ---------------------------------------------------
overlay_10_2                                          -               СТРАТЕГИЧЕСКИЕ ТОЧКИ          
overlay_10_3                                          ---------------------------------------------------\n
overlay_10_4                                          Норад           38 44' 39.68" N     104 50' 48,18" W 
overlay_10_5                                          Кефлавик        63 59' 07,71" N     22 36'20.06 W 
overlay_10_6                                          Брюссель        50 50' 54.79" N     4 21' 36.66 " E 
overlay_10_7                                          Неаполь         40 51' 14.64" N     14 17' 21.84 " E 
overlay_10_8                                          Монс (Бельгия)  50 26' 32.55" N     3 57' 28.44 " E 
overlay_10_9                                          Норфолк         36 56' 59.84" N     76 19' 48.57" W 
overlay_10_10                                         Перл Харбор     21 21' 48.77" N     157 57' 39.31' W 
overlay_10_11                                         Рамштайн        49 26' 13.33" N     7 35' 54.11" E 
overlay_10_12                                         Кадена (Окинава)26 21' 28.86" N     127 46' 13.53" E 
overlay_10_13                                         Рота (Испания)  36 38' 15.33" 6     21' 11.90" W 
overlay_10_14                                         Владивосток     43 06' 41.86" N     131 53' 23.22" E 
overlay_10_15                                         Севастополь     44 36' 56.88" N     33 34 46.83" E 
overlay_10_16                                         Ленинград       59 57' 39.60" N     30 18' 41.85" E 
overlay_10_17                                         Мурманск        68 58' 14,59" N     33 01 ' 11.20" E 
overlay_10_18                                         Татищево        51 40' 37.79" N     45 36' 46.89 E 
overlay_10_19                                         Барнаул         53 19' 39.80' N     83 45' 35.86" E

overlay_11_1                                          --------------------------------------------------- 
overlay_11_2                                          -           МОЩНЕЙШИЕ ЯДЕРНЫЕ ВЗРЫВЫ 
overlay_11_3                                          --------------------------------------------------- 
overlay_11_4                                          -ДАТА           НАЗВАНИЕ       МОЩНОСТЬ (KT)  СТРАНА\n 
overlay_11_5                                          ИЮЛ 16 1945     TRINITY         19          США     
overlay_11_6                                          АВГ 6 1945      LITTLE BOY      15          США     
overlay_11_7                                          АВГ 9 1945      FAT MAN         21          США     
overlay_11_8                                          АВГ 29 1949     JOE 1           22          СССР     
overlay_11_9                                          ОКТ 3 1952      HURRICANE       25          ВЕЛИКОБРИТАНИЯ     
overlay_11_10                                         НОЯБ 1 1952     IVY MIKE        10,200      США     
overlay_11_11                                         АВГ 12 1953     JOE 4           400         СССР     
overlay_11_12                                         МАРТ 1 1954     CASTLE BRAVO    15,000      США     
overlay_11_13                                         НОЯБ 22 1955    RDS-37          1,600       СССР     
overlay_11_14                                         НОЯБ 8 1957     GRAPPLE X       1,800       ВЕЛИКОБРИТАНИЯ     
overlay_11_15                                         ФЕВ 13 1960     GERBOISE BLEUE  60          ФРАНЦИЯ     
overlay_11_16                                         ОКТ 31 1961     TSAR BOMBA      50,000      СССР     
overlay_11_17                                         ОКТ 16 1964     596             22          КИТАЙ         
overlay_11_18                                         ИЮН 17 1967     ИСП №. 6        3,300       КИТАЙ         
overlay_11_19                                         АВГ 24 1968     CANOPUS         2,600       ФРАНЦИЯ         
overlay_11_20                                         МАЙ 18 1974     SMILING BUDDHA  12          ИНДИЯ     
overlay_11_21                                         МАЙ 11 1998     SHAKTI I        43          ИНДИЯ     
overlay_11_22                                         МАЙ 13 1998     SHAKTI II       12          ИНДИЯ     
overlay_11_23                                         МАЙ 28 1998     CHAGAI-I        9           ПАКИСТАН

overlay_12_1                                          -----------------------------------------
overlay_12_2                                          -       БЕТА ТЕСТЕРЫ (СТР 1 из 2)
overlay_12_3                                          -----------------------------------------\n
overlay_12_4                                          ASHLEY ‘NEOTHERMIC’ PINNER
overlay_12_5                                          ALESSANDRO ‘FIRESHIP4’ PEDRINA MCCARTHY
overlay_12_6                                          BILL ‘BIPP5’ RASTELLO
overlay_12_7                                          BRODY ‘LEONAKEN’ BROOKS
overlay_12_8                                          CHARLES BROWN
overlay_12_9                                          CHRIS BROWN
overlay_12_10                                         CHRIS ‘SUVIR’ BOYD
overlay_12_11                                         CHRISTOPH KOEHLER
overlay_12_12                                         CORPORATESPECTRE
overlay_12_13                                         DAMJAN ‘VIRUSEX’ BELAVIC
overlay_12_14                                         DANIEL ‘DK’ KARLING
overlay_12_15                                         DEREK ‘PUNISHER BASS’ SCHOTT
overlay_12_16                                         FURRIES
overlay_12_17                                         HENNING HORN
overlay_12_18                                         HEWAT KENNEDY
overlay_12_19                                         JASON ‘JAYSC’ TIEN
overlay_12_20                                         JENS WIECHERS
overlay_12_21                                         JO STANSFIELD
overlay_12_22                                         JOHAN ‘ZARKOW’ MUNKESTAM
overlay_12_23                                         JOSHUA ‘MIAH’ CLAYTON
overlay_12_24                                         JUSTIN ‘ATELOPHOBIA’ GOTTULA
overlay_12_25                                         JURGEN ‘DIRTY HARRY POTTER’ BERTHELSEN
overlay_12_26                                         KASPER ‘AAARGH’ MEERTS
overlay_12_27                                         LEANDER ‘ELDIABLO’ HAMBLEY
overlay_12_28                                         LUKE HOSCHKE
overlay_12_29                                         MARIUSZ ‘MANDI^ATO’ DANILEWICZ

overlay_13_1                                          -----------------------------------------
overlay_13_2                                          -       БЕТА ТЕСТЕРЫ (СТР 2 из 2)
overlay_13_3                                          -----------------------------------------\n
overlay_13_4                                          MARK ‘LLAMABOY’ VINE
overlay_13_5                                          MICHAEL NICHOLLS
overlay_13_6                                          MORTEN ‘NUTTER’ PEDERSEN
overlay_13_7                                          MR. VIOLATOR
overlay_13_8                                          NEIL ROSS
overlay_13_9                                          NIGEL ‘MOUSE’ MORSE
overlay_13_10                                         OLIVER ‘AGENTX 24’ GRUBIN
overlay_13_11                                         PHYDAUX
overlay_13_12                                         PIOTR ‘THEPIACHU’ PIASECKI
overlay_13_13                                         PITBEAST
overlay_13_14                                         PROZAK
overlay_13_15                                         RICHARD ‘FALSE’ LA CHARIT? III
overlay_13_16                                         SAM ‘MAS’ NORRIS
overlay_13_17                                         SHAWN ‘TRICKFRED’ MACIVER
overlay_13_18                                         SIMON ‘N3O77’ SPARKS
overlay_13_19                                         STEVEN NOONAN
overlay_13_20                                         SWIL232
overlay_13_21                                         THE GOLDFISH
overlay_13_22                                         THIERRY ‘BOLKA’ MARTIN
overlay_13_23                                         TIM BAVERSTOCK
overlay_13_24                                         TOBY ‘THE TUBSTAR’ INNOCENT
overlay_13_25                                         TOUMAZ
overlay_13_26                                         VIRGINIJUS ‘LEGIO’ PAMPIKAS
overlay_13_27                                         WILL ‘MIZER’ NEW
overlay_13_28                                         WOLFLORD
overlay_13_29                                         ZACHARY ‘XYZYXX’ PARKER

overlay_14_1                                          -----------------------------------------
overlay_14_2                                          -     БЕТА ТЕСТЕРЫ ВЕРСИИ ДЛЯ MAC
overlay_14_3                                          -----------------------------------------\n
overlay_14_4                                          ALASTAIR ‘PROPHILE’ LYNN
overlay_14_5                                          ALEC ‘HAMSTER’ INGULSRUD
overlay_14_6                                          ANDREW ‘ANDCARNE’ CARNE
overlay_14_7                                          BOLKO ‘KRAUTI’ MAASS
overlay_14_8                                          BRIAN DICK
overlay_14_9                                          BRYCE ‘ZOMBAT’ HOMICK
overlay_14_10                                         CIAR?N ‘MONTYPHY’ EATON
overlay_14_11                                         DOMINIC ‘REFRIDGERON’ WHITE
overlay_14_12                                         JACK ‘DASH RANTIC’ CARLSON
overlay_14_13                                         JAMES ‘CONSUL BOB’ GOOCH
overlay_14_14                                         JAMES ‘LASTOF’ TITMUSS
overlay_14_15                                         JONAS ‘FREQ245’ MIRWALD
overlay_14_16                                         KIRK ‘KAUTHOR’ STALEY
overlay_14_17                                         MARK ‘MRXAK’ PETCAVAGE
overlay_14_18                                         MIKE ASH
overlay_14_19                                         NATHANIEL ‘MACKILROY’ PORTER
overlay_14_20                                         NICK ‘NFREADER’ FARLEY
overlay_14_21                                         OWEN ‘MR ED209’ BILLCLIFFE
overlay_14_22                                         PER ‘PV2B’ VON ZWEIGBERGK
overlay_14_23                                         SOLRA BIZNA
overlay_14_24                                         XANDER HENDERSON

overlay_15_1                                          ----------------------------------------
overlay_15_2                                          -     Версия для MAC от AMBROSIA SOFTWARE
overlay_15_3                                          ----------------------------------------\n
